,id,iso2Code,name,capitalCity,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, male 15+ years of age) ","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age) ","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) ","Cause of death, by injury (% of total)","Mortality caused by road traffic injury (per 100,000 people)",Hapiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
0,ALB,AL,Albania,Tirane,2.68,11.63,7.17,3.03599641131377,13.6,4.719,0.947,0.848,0.874,0.383,0.178,0.027
1,AND,AD,Andorra,Andorra la Vella,5.19,17.17,11.02,,,,,,,,,
2,AUT,AT,Austria,Vienna,5.77,18.49,11.96,5.44531462854727,5.2,7.246,1.376,1.475,1.016,0.532,0.244,0.226
3,BEL,BE,Belgium,Brussels,5.27,17.15,11.08,6.12096377150522,5.8,6.923,1.356,1.504,0.986,0.473,0.16,0.21
4,BGR,BG,Bulgaria,Sofia,5.68,20.17,12.65,2.47491821960442,10.2,5.011,1.092,1.513,0.815,0.311,0.081,0.004
5,BIH,BA,Bosnia and Herzegovina,Sarajevo,2.7,11.83,7.15,3.76658780271476,15.7,5.386,0.945,1.212,0.845,0.212,0.263,0.006
6,BLR,BY,Belarus,Minsk,5.38,18.71,11.45,5.71450571457612,8.9,5.323,1.067,1.465,0.789,0.235,0.094,0.142
7,CHE,CH,Switzerland,Bern,5.6,17.65,11.53,5.69826863764251,2.7,7.48,1.452,1.526,1.052,0.572,0.263,0.343
8,CYP,CY,Cyprus,Nicosia,4.76,16.92,10.81,5.3466254345444,5.1,6.046,1.263,1.223,1.042,0.406,0.19,0.041
9,CZE,CZ,Czech Republic,Prague,6.99,22.28,14.45,4.77548092277927,5.9,6.852,1.269,1.487,0.92,0.457,0.046,0.036
10,DEU,DE,Germany,Berlin,6.21,19.9,12.91,4.64167927814672,4.1,6.985,1.373,1.454,0.987,0.495,0.261,0.265
11,DNK,DK,Denmark,Copenhagen,4.86,15.78,10.26,3.51602038320691,4.0,7.6,1.383,1.573,0.996,0.592,0.252,0.41
12,ESP,ES,Spain,Madrid,5.77,20.07,12.72,3.62210162451938,4.1,6.354,1.286,1.484,1.062,0.362,0.153,0.079
13,EST,EE,Estonia,Tallinn,4.35,14.96,9.23,4.22251355239039,6.1,5.893,1.237,1.528,0.874,0.495,0.103,0.161
14,FIN,FI,Finland,Helsinki,5.05,16.77,10.78,5.6430073668987,4.7,7.769,1.34,1.587,0.986,0.596,0.153,0.393
15,FRA,FR,France,Paris,5.83,19.18,12.33,6.35586909299778,5.5,6.592,1.324,1.472,1.045,0.436,0.111,0.183
16,GBR,GB,United Kingdom,London,5.39,17.76,11.45,3.68614740758269,3.1,7.054,1.333,1.538,0.996,0.45,0.348,0.278
17,GRC,GR,Greece,Athens,4.46,16.17,10.18,3.9092271407784,9.2,5.287,1.181,1.156,0.999,0.067,0.0,0.034
18,HRV,HR,Croatia,Zagreb,4.22,14.73,9.23,5.06513555428123,8.1,5.432,1.155,1.266,0.914,0.296,0.119,0.022
19,HUN,HU,Hungary,Budapest,5.38,18.1,11.35,4.13719063874997,7.8,5.758,1.201,1.41,0.828,0.199,0.081,0.02
20,IRL,IE,Ireland,Dublin,6.38,19.62,12.88,3.9095342520665,4.1,7.021,1.499,1.553,0.999,0.516,0.298,0.31
21,ISL,IS,Iceland,Reykjavik,4.34,13.9,9.12,5.56091161354251,6.6,7.494,1.38,1.624,1.026,0.591,0.354,0.118
22,ITA,IT,Italy,Rome,3.52,12.46,7.84,3.85670624309975,5.6,6.223,1.294,1.488,1.039,0.231,0.158,0.03
23,LTU,LT,Lithuania,Vilnius,6.56,21.29,13.22,5.43139588283383,8.0,6.149,1.238,1.515,0.818,0.291,0.043,0.042
24,LUX,LU,Luxembourg,Luxembourg,6.36,19.51,12.94,6.04676085887135,6.3,7.09,1.609,1.479,1.012,0.526,0.194,0.316
25,LVA,LV,Latvia,Riga,6.11,20.92,12.77,4.9656268353408,9.3,5.94,1.187,1.465,0.812,0.264,0.075,0.064
26,MDA,MD,Moldova,Chisinau,5.27,18.29,11.43,6.04526188221804,9.7,5.529,0.685,1.328,0.739,0.245,0.181,0.0
27,MKD,MK,North Macedonia,Skopje,2.44,9.93,6.16,2.58451833357533,6.4,5.274,0.983,1.294,0.838,0.345,0.185,0.034
28,MNE,ME,Montenegro,Podgorica,4.97,18.3,11.47,4.48017883696707,10.7,5.523,1.051,1.361,0.871,0.197,0.142,0.08
