country,"Cause of death, by injury (% of total)",name
Arab World,10.1279130506063,Arab World
Caribbean small states,11.0638106796013,Caribbean small states
Central Europe and the Baltics,4.22797666197834,Central Europe and the Baltics
Early-demographic dividend,9.05008425154921,Early-demographic dividend
East Asia & Pacific,6.67635191769497,East Asia & Pacific
East Asia & Pacific (excluding high income),6.79897658202346,East Asia & Pacific (excluding high income)
East Asia & Pacific (IDA & IBRD countries),6.79887448334363,East Asia & Pacific (IDA & IBRD countries)
Euro area,4.8269487404868,Euro area
Europe & Central Asia,5.11258207711933,Europe & Central Asia
Europe & Central Asia (excluding high income),5.8255605720123,Europe & Central Asia (excluding high income)
Europe & Central Asia (IDA & IBRD countries),5.55471361054514,Europe & Central Asia (IDA & IBRD countries)
European Union,4.62456410600078,European Union
Fragile and conflict affected situations,10.3251830345991,Fragile and conflict affected situations
Heavily indebted poor countries (HIPC),10.7452047972548,Heavily indebted poor countries (HIPC)
High income,5.63864940113627,High income
IBRD only,8.12271602657137,IBRD only
IDA & IBRD total,8.45215718619451,IDA & IBRD total
IDA blend,7.87939243139129,IDA blend
IDA only,10.3363216183392,IDA only
IDA total,9.43425565423768,IDA total
Late-demographic dividend,7.36842874502886,Late-demographic dividend
Latin America & Caribbean,11.2298115566005,Latin America & Caribbean
Latin America & Caribbean (excluding high income),11.3880378936558,Latin America & Caribbean (excluding high income)
Latin America & the Caribbean (IDA & IBRD countries),11.3431377166473,Latin America & the Caribbean (IDA & IBRD countries)
Least developed countries: UN classification,10.2526078792974,Least developed countries: UN classification
Low & middle income,8.51414887025088,Low & middle income
Low income,11.0094381865301,Low income
Lower middle income,8.78571280452346,Lower middle income
Middle East & North Africa,10.107122981729,Middle East & North Africa
Middle East & North Africa (excluding high income),9.48427007673926,Middle East & North Africa (excluding high income)
Middle East & North Africa (IDA & IBRD countries),9.48427007673927,Middle East & North Africa (IDA & IBRD countries)
Middle income,8.22116541962694,Middle income
North America,6.4552307203693,North America
Not classified,,Not classified
OECD members,5.90524241356707,OECD members
Other small states,9.34703642042503,Other small states
Pacific island small states,7.66368284929194,Pacific island small states
Post-demographic dividend,5.43067066752352,Post-demographic dividend
Pre-demographic dividend,9.98772449333338,Pre-demographic dividend
Small states,9.54936535014835,Small states
South Asia,9.44608709172634,South Asia
South Asia (IDA & IBRD),9.44608709172634,South Asia (IDA & IBRD)
Sub-Saharan Africa,10.0039380288888,Sub-Saharan Africa
Sub-Saharan Africa (excluding high income),10.0122360733208,Sub-Saharan Africa (excluding high income)
Sub-Saharan Africa (IDA & IBRD countries),10.0039380288888,Sub-Saharan Africa (IDA & IBRD countries)
Upper middle income,7.66908439448948,Upper middle income
World,7.95732820725395,World
Afghanistan,17.2884637273119,Afghanistan
Albania,3.03599641131377,Albania
Algeria,7.66004004219541,Algeria
American Samoa,,American Samoa
Andorra,,Andorra
Angola,9.08828741319193,Angola
Antigua and Barbuda,5.37279775035651,Antigua and Barbuda
Argentina,5.70904330858032,Argentina
Armenia,4.67775117531801,Armenia
Aruba,,Aruba
Australia,5.94459221316378,Australia
Austria,5.44531462854727,Austria
Azerbaijan,3.7636405524941,Azerbaijan
"Bahamas, The",13.8557689084434,"Bahamas, The"
Bahrain,8.89231702659159,Bahrain
Bangladesh,7.13149266345035,Bangladesh
Barbados,4.30922726355312,Barbados
Belarus,5.71450571457612,Belarus
Belgium,6.12096377150522,Belgium
Belize,18.8455291613112,Belize
Benin,9.19147102400214,Benin
Bermuda,,Bermuda
Bhutan,9.04574466073515,Bhutan
Bolivia,8.7017791007376,Bolivia
Bosnia and Herzegovina,3.76658780271476,Bosnia and Herzegovina
Botswana,9.38521814911902,Botswana
Brazil,11.5536597805284,Brazil
British Virgin Islands,,British Virgin Islands
Brunei Darussalam,4.98998923708015,Brunei Darussalam
