country,"Mortality caused by road traffic injury (per 100,000 people)",name
Arab World,19.4468187399204,Arab World
Caribbean small states,15.498151571549,Caribbean small states
Central Europe and the Baltics,8.85670504141987,Central Europe and the Baltics
Early-demographic dividend,19.2302174572035,Early-demographic dividend
East Asia & Pacific,16.90830752743,East Asia & Pacific
East Asia & Pacific (excluding high income),18.0851558360796,East Asia & Pacific (excluding high income)
East Asia & Pacific (IDA & IBRD countries),18.0851558360796,East Asia & Pacific (IDA & IBRD countries)
Euro area,5.10865338237377,Euro area
Europe & Central Asia,9.38071628749851,Europe & Central Asia
Europe & Central Asia (excluding high income),14.7012804327704,Europe & Central Asia (excluding high income)
Europe & Central Asia (IDA & IBRD countries),14.0297333134661,Europe & Central Asia (IDA & IBRD countries)
European Union,5.85145160407202,European Union
Fragile and conflict affected situations,25.2574883423373,Fragile and conflict affected situations
Heavily indebted poor countries (HIPC),27.3976020942068,Heavily indebted poor countries (HIPC)
High income,8.36987014804413,High income
IBRD only,19.07451817771,IBRD only
IDA & IBRD total,19.9214618490553,IDA & IBRD total
IDA blend,19.3023926901283,IDA blend
IDA only,24.3354390316131,IDA only
IDA total,22.5642147141972,IDA total
Late-demographic dividend,18.7029666101473,Late-demographic dividend
Latin America & Caribbean,17.8143495236901,Latin America & Caribbean
Latin America & Caribbean (excluding high income),18.0531718090395,Latin America & Caribbean (excluding high income)
Latin America & the Caribbean (IDA & IBRD countries),17.9975983782297,Latin America & the Caribbean (IDA & IBRD countries)
Least developed countries: UN classification,24.4731976486021,Least developed countries: UN classification
Low & middle income,20.0365451274943,Low & middle income
Low income,27.8273153459034,Low income
Lower middle income,20.5446170781993,Lower middle income
Middle East & North Africa,18.2278412084433,Middle East & North Africa
Middle East & North Africa (excluding high income),17.6200456463381,Middle East & North Africa (excluding high income)
Middle East & North Africa (IDA & IBRD countries),17.6200456463381,Middle East & North Africa (IDA & IBRD countries)
Middle income,19.2623507405438,Middle income
North America,11.7362426277075,North America
Not classified,,Not classified
OECD members,8.74704965239217,OECD members
Other small states,20.4194499804544,Other small states
Pacific island small states,12.3135574875698,Pacific island small states
Post-demographic dividend,7.7421394905972,Post-demographic dividend
Pre-demographic dividend,26.1031675070371,Pre-demographic dividend
Small states,18.9755485598658,Small states
South Asia,20.6415574218229,South Asia
South Asia (IDA & IBRD),20.6415574218229,South Asia (IDA & IBRD)
Sub-Saharan Africa,26.875360492999,Sub-Saharan Africa
Sub-Saharan Africa (excluding high income),26.8930909996023,Sub-Saharan Africa (excluding high income)
Sub-Saharan Africa (IDA & IBRD countries),26.875360492999,Sub-Saharan Africa (IDA & IBRD countries)
Upper middle income,18.0130035241982,Upper middle income
World,18.1362051966358,World
Afghanistan,15.1,Afghanistan
Albania,13.6,Albania
Algeria,,Algeria
American Samoa,,American Samoa
Andorra,,Andorra
Angola,23.6,Angola
Antigua and Barbuda,7.9,Antigua and Barbuda
Argentina,14.0,Argentina
Armenia,17.1,Armenia
Aruba,,Aruba
Australia,5.6,Australia
Austria,5.2,Austria
Azerbaijan,8.7,Azerbaijan
"Bahamas, The",,"Bahamas, The"
Bahrain,,Bahrain
Bangladesh,15.3,Bangladesh
Barbados,5.6,Barbados
Belarus,8.9,Belarus
Belgium,5.8,Belgium
Belize,28.3,Belize
Benin,27.5,Benin
Bermuda,,Bermuda
Bhutan,17.4,Bhutan
Bolivia,15.5,Bolivia
Bosnia and Herzegovina,15.7,Bosnia and Herzegovina
Botswana,23.8,Botswana
Brazil,19.7,Brazil
British Virgin Islands,,British Virgin Islands
Brunei Darussalam,,Brunei Darussalam
Bulgaria,10.2,Bulgaria
Burkina Faso,30.5,Burkina Faso
Burundi,34.7,Burundi
Cabo Verde,25.0,Cabo Verde
Cambodia,17.8,Cambodia
Cameroon,30.1,Cameroon
Canada,5.8,Canada
Cayman Islands,,Cayman Islands
Central African Republic,33.6,Central African Republic
Chad,27.6,Chad
Channel Islands,,Channel Islands
Chile,12.5,Chile
China,18.2,China
Colombia,18.5,Colombia
Comoros,26.5,Comoros
"Congo, Dem. Rep.",33.7,"Congo, Dem. Rep."
"Congo, Rep.",27.4,"Congo, Rep."
Costa Rica,16.7,Costa Rica
Cote d'Ivoire,23.6,Cote d'Ivoire
Croatia,8.1,Croatia
Cuba,8.5,Cuba
Curacao,,Curacao
Cyprus,5.1,Cyprus
Czech Republic,5.9,Czech Republic
Denmark,4.0,Denmark
Djibouti,,Djibouti
Dominica,10.9,Dominica
Dominican Republic,34.6,Dominican Republic
Ecuador,21.3,Ecuador
"Egypt, Arab Rep.",9.7,"Egypt, Arab Rep."
El Salvador,22.2,El Salvador
Equatorial Guinea,24.6,Equatorial Guinea
Eritrea,25.3,Eritrea
Estonia,6.1,Estonia
Eswatini,26.9,Eswatini
Ethiopia,26.7,Ethiopia
Faroe Islands,,Faroe Islands
Fiji,9.6,Fiji
Finland,4.7,Finland
France,5.5,France
French Polynesia,,French Polynesia
Gabon,23.2,Gabon
"Gambia, The",29.7,"Gambia, The"
Georgia,15.3,Georgia
Germany,4.1,Germany
Ghana,24.9,Ghana
Gibraltar,,Gibraltar
Greece,9.2,Greece
Greenland,,Greenland
Grenada,9.3,Grenada
Guam,,Guam
Guatemala,16.6,Guatemala
Guinea,28.2,Guinea
Guinea-Bissau,31.1,Guinea-Bissau
Guyana,24.6,Guyana
Haiti,,Haiti
Honduras,16.7,Honduras
"Hong Kong SAR, China",,"Hong Kong SAR, China"
Hungary,7.8,Hungary
Iceland,6.6,Iceland
India,22.6,India
Indonesia,12.2,Indonesia
"Iran, Islamic Rep.",20.5,"Iran, Islamic Rep."
Iraq,20.7,Iraq
Ireland,4.1,Ireland
Isle of Man,,Isle of Man
Israel,4.2,Israel
Italy,5.6,Italy
Jamaica,13.6,Jamaica
Japan,4.1,Japan
Jordan,24.4,Jordan
Kazakhstan,17.6,Kazakhstan
Kenya,27.8,Kenya
Kiribati,4.4,Kiribati
"Korea, Dem. People’s Rep.",,"Korea, Dem. People’s Rep."
"Korea, Rep.",9.8,"Korea, Rep."
Kosovo,,Kosovo
Kuwait,17.6,Kuwait
Kyrgyz Republic,15.4,Kyrgyz Republic
Lao PDR,16.6,Lao PDR
Latvia,9.3,Latvia
Lebanon,18.1,Lebanon
Lesotho,28.9,Lesotho
Liberia,35.9,Liberia
Libya,26.1,Libya
Liechtenstein,,Liechtenstein
Lithuania,8.0,Lithuania
Luxembourg,6.3,Luxembourg
"Macao SAR, China",,"Macao SAR, China"
Madagascar,28.6,Madagascar
Malawi,31.0,Malawi
Malaysia,23.6,Malaysia
Maldives,0.9,Maldives
Mali,23.1,Mali
Malta,6.1,Malta
Marshall Islands,,Marshall Islands
Mauritania,24.7,Mauritania
Mauritius,13.7,Mauritius
Mexico,13.1,Mexico
"Micronesia, Fed. Sts.",1.9,"Micronesia, Fed. Sts."
Moldova,9.7,Moldova
Monaco,,Monaco
Mongolia,16.5,Mongolia
Montenegro,10.7,Montenegro
Morocco,19.6,Morocco
Mozambique,30.1,Mozambique
Myanmar,19.9,Myanmar
Namibia,30.4,Namibia
Nauru,,Nauru
Nepal,15.9,Nepal
Netherlands,3.8,Netherlands
New Caledonia,,New Caledonia
New Zealand,7.8,New Zealand
Nicaragua,,Nicaragua
Niger,26.2,Niger
Nigeria,21.4,Nigeria
North Macedonia,6.4,North Macedonia
Northern Mariana Islands,,Northern Mariana Islands
Norway,2.7,Norway
Oman,16.1,Oman
Pakistan,14.3,Pakistan
Palau,,Palau
Panama,14.3,Panama
Papua New Guinea,14.2,Papua New Guinea
Paraguay,22.7,Paraguay
Peru,13.5,Peru
Philippines,12.3,Philippines
Poland,9.7,Poland
Portugal,7.4,Portugal
Puerto Rico,,Puerto Rico
Qatar,9.3,Qatar
Romania,10.3,Romania
Russian Federation,18.0,Russian Federation
Rwanda,29.7,Rwanda
Samoa,11.3,Samoa
San Marino,0.0,San Marino
Sao Tome and Principe,27.5,Sao Tome and Principe
Saudi Arabia,28.8,Saudi Arabia
Senegal,23.4,Senegal
Serbia,7.4,Serbia
Seychelles,15.9,Seychelles
Sierra Leone,,Sierra Leone
Singapore,2.8,Singapore
Sint Maarten (Dutch part),,Sint Maarten (Dutch part)
Slovak Republic,6.1,Slovak Republic
Slovenia,6.4,Slovenia
Solomon Islands,17.4,Solomon Islands
Somalia,27.1,Somalia
South Africa,25.9,South Africa
South Sudan,29.9,South Sudan
Spain,4.1,Spain
Sri Lanka,14.9,Sri Lanka
St. Kitts and Nevis,,St. Kitts and Nevis
St. Lucia,35.4,St. Lucia
St. Martin (French part),,St. Martin (French part)
St. Vincent and the Grenadines,,St. Vincent and the Grenadines
Sudan,25.7,Sudan
Suriname,14.5,Suriname
Sweden,2.8,Sweden
Switzerland,2.7,Switzerland
Syrian Arab Republic,26.5,Syrian Arab Republic
Tajikistan,18.1,Tajikistan
Tanzania,29.2,Tanzania
Thailand,32.7,Thailand
Timor-Leste,12.7,Timor-Leste
Togo,29.2,Togo
Tonga,16.8,Tonga
Trinidad and Tobago,12.1,Trinidad and Tobago
Tunisia,22.8,Tunisia
Turkey,12.3,Turkey
Turkmenistan,14.5,Turkmenistan
Turks and Caicos Islands,,Turks and Caicos Islands
Tuvalu,,Tuvalu
Uganda,29.0,Uganda
Ukraine,13.7,Ukraine
United Arab Emirates,18.1,United Arab Emirates
United Kingdom,3.1,United Kingdom
United States,12.4,United States
Uruguay,13.4,Uruguay
Uzbekistan,11.5,Uzbekistan
Vanuatu,15.9,Vanuatu
"Venezuela, RB",33.7,"Venezuela, RB"
Vietnam,26.4,Vietnam
Virgin Islands (U.S.),,Virgin Islands (U.S.)
West Bank and Gaza,,West Bank and Gaza
"Yemen, Rep.",,"Yemen, Rep."
Zambia,,Zambia
Zimbabwe,34.7,Zimbabwe
